slot,pkts_sent,pkts_received,pkts_lost,loss_flag
0,0,0,0,0
112,112,112,0,0
160,160,160,0,0
134,134,134,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
16,16,16,0,0
16,16,16,0,0
20,20,20,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
16,16,16,0,0
16,16,16,0,0
20,20,20,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
16,16,16,0,0
16,16,16,0,0
20,20,20,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
0,0,0,0,0
160,160,160,0,0
160,160,160,0,0
160,160,160,0,0
112,112,112,0,0
160,160,160,0,0
160,160,160,0,0
160,160,160,0,0
112,112,112,0,0
160,160,160,0,0
160,160,160,0,0
160,160,160,0,0
112,112,112,0,0
16,16,16,0,0
16,16,16,0,0
20,20,20,0,0
112,112,112,0,0
160,160,160,0,0
160,160,160,0,0
160,160,160,0,0
112,112,112,0,0
160,160,160,0,0
160,160,160,0,0
160,160,160,0,0
112,112,112,0,0
160,160,160,0,0
160,160,160,0,0
160,160,160,0,0
112,112,112,0,0
0,0,0,0,0
0,0,0,0,0
220,220,220,0,0
316,316,316,0,0
316,316,316,0,0
316,316,316,0,0
220,220,220,0,0
316,316,316,0,0
316,316,316,0,0
316,316,316,0,0
220,220,220,0,0
316,316,316,0,0
316,316,316,0,0
316,316,316,0,0
220,220,220,0,0
16,16,16,0,0
16,16,16,0,0
20,20,20,0,0
328,328,328,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
328,328,328,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
328,328,328,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
328,328,328,0,0
0,0,0,0,0
0,0,0,0,0
328,328,328,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
328,328,328,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
328,328,328,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
328,328,328,0,0
16,16,16,0,0
16,16,16,0,0
20,20,20,0,0
328,328,328,0,0
394,394,394,0,0
316,316,316,0,0
316,316,316,0,0
220,220,220,0,0
316,316,316,0,0
160,160,160,0,0
316,316,316,0,0
220,220,220,0,0
316,316,316,0,0
316,316,316,0,0
316,316,316,0,0
220,220,220,0,0
0,0,0,0,0
0,0,0,0,0
220,220,220,0,0
316,316,316,0,0
316,316,316,0,0
316,316,316,0,0
220,220,220,0,0
316,316,316,0,0
316,316,316,0,0
316,316,316,0,0
220,220,220,0,0
316,316,316,0,0
316,316,316,0,0
316,316,316,0,0
220,220,220,0,0
16,16,16,0,0
16,16,16,0,0
20,20,20,0,0
328,328,328,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
328,328,328,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
328,328,328,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
328,328,328,0,0
0,0,0,0,0
0,0,0,0,0
328,328,328,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
328,328,328,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
328,328,328,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
328,328,328,0,0
16,16,16,0,0
16,16,16,0,0
20,20,20,0,0
328,328,328,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
328,328,328,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
328,328,328,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
328,328,328,0,0
0,0,0,0,0
0,0,0,0,0
328,328,328,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
328,328,328,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
328,328,328,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
328,328,328,0,0
16,16,16,0,0
16,16,16,0,0
20,20,20,0,0
220,220,220,0,0
472,472,472,0,0
472,472,472,0,0
472,472,472,0,0
220,220,220,0,0
472,472,472,0,0
